,state,expenditure,ratio,salary,percent_taking,verbal,mat,total
0,Alabama,4.405,17.2,31.144000000000002,8,491,538,1029
1,Alaska,8.963,17.6,47.951,47,445,489,934
2,Arizona,4.7780000000000005,19.3,32.175,27,448,496,944
3,Arkansas,4.459,17.1,28.934,6,482,523,1005
4,California,4.992,24.0,41.078,45,417,485,902
5,Colorado,5.443,18.4,34.571,29,462,518,980
6,Connecticut,8.817,14.4,50.045,81,431,477,908
7,Delaware,7.03,16.6,39.076,68,429,468,897
8,Florida,5.718,19.1,32.588,48,420,469,889
9,Georgia,5.193,16.3,32.291,65,406,448,854
10,Hawaii,6.077999999999999,17.9,38.518,57,407,482,889
11,Idaho,4.21,19.1,29.783,15,468,511,979
12,Illinois,6.136,17.3,39.431,13,488,560,1048
13,Indiana,5.8260000000000005,17.5,36.785,58,415,467,882
14,Iowa,5.483,15.8,31.511,5,516,583,1099
15,Kansas,5.817,15.1,34.652,9,503,557,1060
16,Kentucky,5.2170000000000005,17.0,32.257,11,477,522,999
17,Louisiana,4.761,16.8,26.461,9,486,535,1021
18,Maine,6.428,13.8,31.971999999999998,68,427,469,896
19,Maryland,7.245,17.0,40.661,64,430,479,909
20,Massachusetts,7.287000000000001,14.8,40.795,80,430,477,907
21,Michigan,6.994,20.1,41.895,11,484,549,1033
22,Minnesota,6.0,17.5,35.948,9,506,579,1085
23,Mississippi,4.08,17.5,26.818,4,496,540,1036
24,Missouri,5.382999999999999,15.5,31.189,9,495,550,1045
25,Montana,5.692,16.3,28.785,21,473,536,1009
26,Nebraska,5.935,14.5,30.921999999999997,9,494,556,1050
27,Nevada,5.16,18.7,34.836,30,434,483,917
28,New Hampshire,5.859,15.6,34.72,70,444,491,935
29,New Jersey,9.774,13.8,46.086999999999996,70,420,478,898
30,New Mexico,4.586,17.2,28.493000000000002,11,485,530,1015
31,New York,9.623,15.2,47.611999999999995,74,419,473,892
32,North Carolina,5.077,16.2,30.793000000000003,60,411,454,865
33,North Dakota,4.775,15.3,26.326999999999998,5,515,592,1107
34,Ohio,6.162000000000001,16.6,36.802,23,460,515,975
35,Oklahoma,4.845,15.5,28.171999999999997,9,491,536,1027
36,Oregon,6.436,19.9,38.555,51,448,499,947
37,Pennsylvania,7.109,17.1,44.51,70,419,461,880
38,Rhode Island,7.468999999999999,14.7,40.729,70,425,463,888
39,South Carolina,4.797,16.4,30.279,58,401,443,844
40,South Dakota,4.775,14.4,25.994,5,505,563,1068
41,Tennessee,4.388,18.6,32.477,12,497,543,1040
42,Texas,5.222,15.7,31.223000000000003,47,419,474,893
43,Utah,3.656,24.3,29.081999999999997,4,513,563,1076
44,Vermont,6.75,13.8,35.406,68,429,472,901
45,Virginia,5.327000000000001,14.6,33.986999999999995,65,428,468,896
46,Washington,5.906000000000001,20.2,36.150999999999996,48,443,494,937
47,West Virginia,6.107,14.8,31.944000000000003,17,448,484,932
48,Wisconsin,6.93,15.9,37.746,9,501,572,1073
49,Wyoming,6.16,14.9,31.285,10,476,525,1001
